name,meaning,origin,gender,nationality,language,script,era,notes
Liam,Strong-willed warrior,Irish,boy,us,en,Latin,modern,Top popular name
Noah,Rest and comfort,Hebrew,boy,us,en,Latin,classic,Biblical origin
Oliver,Olive tree,Latin,boy,us,en,Latin,modern,
Elijah,Yahweh is God,Hebrew,boy,us,en,Latin,classic,Biblical
James,Supplanter,Hebrew,boy,us,en,Latin,classic,
William,Resolute protector,German,boy,us,en,Latin,classic,
Benjamin,Son of the right hand,Hebrew,boy,us,en,Latin,classic,
Lucas,Light-giving,Latin,boy,us,en,Latin,modern,
Henry,Home ruler,German,boy,us,en,Latin,classic,
Alexander,Defender of people,Greek,boy,us,en,Latin,classic,International name
Mason,Stone worker,English,boy,us,en,Latin,modern,
Michael,Who is like God,Hebrew,boy,us,en,Latin,classic,Biblical
Ethan,Strong and firm,Hebrew,boy,us,en,Latin,classic,
Daniel,God is my judge,Hebrew,boy,us,en,Latin,classic,Biblical
Jacob,Holder of the heel,Hebrew,boy,us,en,Latin,classic,
Logan,Little hollow,Scottish,boy,us,en,Latin,modern,
Jackson,Son of Jack,English,boy,us,en,Latin,modern,
Levi,Joined in harmony,Hebrew,boy,us,en,Latin,classic,
Sebastian,Revered,Greek,boy,us,en,Latin,classic,
Mateo,Gift of God,Hebrew,boy,us,en,Latin,modern,Spanish influence

Olivia,Olive tree,Latin,girl,us,en,Latin,modern,Top popular name
Emma,Whole or universal,German,girl,us,en,Latin,classic,
Charlotte,Free woman,French,girl,us,en,Latin,classic,
Amelia,Work,German,girl,us,en,Latin,classic,
Sophia,Wisdom,Greek,girl,us,en,Latin,classic,International name
Isabella,Pledged to God,Hebrew,girl,us,en,Latin,classic,
Ava,Life,Latin,girl,us,en,Latin,modern,
Mia,Mine or beloved,Italian,girl,us,en,Latin,modern,
Evelyn,Desired,French,girl,us,en,Latin,classic,
Harper,Harp player,English,girl,us,en,Latin,modern,Unisex usage
Luna,Moon,Latin,girl,us,en,Latin,modern,
Camila,Helper,Latin,girl,us,en,Latin,classic,Spanish influence
Gianna,God is gracious,Hebrew,girl,us,en,Latin,classic,
Elizabeth,Pledged to God,Hebrew,girl,us,en,Latin,classic,
Eleanor,Shining light,Greek,girl,us,en,Latin,classic,
Ella,Fairy maiden,German,girl,us,en,Latin,modern,
Abigail,Father’s joy,Hebrew,girl,us,en,Latin,classic,Biblical
Emily,Industrious,Latin,girl,us,en,Latin,classic,
Scarlett,Red,English,girl,us,en,Latin,modern,
Victoria,Victory,Latin,girl,us,en,Latin,classic,
Aiden,Little fire,Irish,boy,us,en,Latin,modern,
